almaMmsId	rpbId
990192739650206441	RPB929t123393
990194218800206441	RPB929t130644
990194233920206441	RPB929t130739
990175636300206441	RPB929t131469
990049861680206441	RPB929t132860
990205158030206441	RPB929t143770
990149541950206441	RPB929t910037
990049235340206441	RPB929t910170
990048999210206441	RPB929t910424
990056002280206441	RPB929t910565
990048879260206441	RPB929t910662
990049004890206441	RPB929t910663
990048975680206441	RPB929t910664
990049006920206441	RPB929t910665
990049690240206441	RPB929t910666
990049014380206441	RPB929t910739
990054053790206441	RPB929t910837
990050046400206441	RPB929t910910
990049113200206441	RPB929t910999
990049113190206441	RPB929t911003
990048771930206441	RPB929t911006
990049392690206441	RPB929t911010
990049121800206441	RPB929t911063
990048856730206441	RPB929t911066
990049288610206441	RPB929t920154
990049077380206441	RPB929t920369
990048909540206441	RPB929t920533
990056906530206441	RPB929t920551
990049182900206441	RPB929t920553
990049182680206441	RPB929t920554
990049162960206441	RPB929t920629
990055926770206441	RPB929t920630
990049132070206441	RPB929t920637
990049144950206441	RPB929t920643
990052432510206441	RPB929t921067
990049206610206441	RPB929t921284
990049075330206441	RPB929t921285x
990049152120206441	RPB929t921397
990049122320206441	RPB929t921402
990049176770206441	RPB929t921539
990216034500206441	RPB929t921540
990049412970206441	RPB929t921815
990054323830206441	RPB929t921836
990054107570206441	RPB929t921876
990049418550206441	RPB929t922052
990056116610206441	RPB929t930042
990052527280206441	RPB929t930044
990052527500206441	RPB929t930045
990052527490206441	RPB929t930046
990056035470206441	RPB929t930162
990049756630206441	RPB929t930308
990056746200206441	RPB929t930337
990048889760206441	RPB929t930339
990049759870206441	RPB929t930511
990056071140206441	RPB929t930723
990055472310206441	RPB929t930724
990056900000206441	RPB929t930846
990049748740206441	RPB929t930849
990056086500206441	RPB929t930859
990048890930206441	RPB929t930919
990049197950206441	RPB929t930927
990049758860206441	RPB929t930931
990056071340206441	RPB929t931100
990049745080206441	RPB929t931104
990048766230206441	RPB929t931198
990054573630206441	RPB929t931214
990055475640206441	RPB929t931320
990056111250206441	RPB929t931321
990055639420206441	RPB929t931418
990056063770206441	RPB929t931419
990055903910206441	RPB929t931508
990049807470206441	RPB929t931761
990055905070206441	RPB929t931790
990056085370206441	RPB929t931791
990056135630206441	RPB929t931809
990049822870206441	RPB929t932013
990056135530206441	RPB929t932061
990049822730206441	RPB929t932063
990055607220206441	RPB929t932113
990056070850206441	RPB929t932114
990054451450206441	RPB929t932129
990054220470206441	RPB929t932187
990056064550206441	RPB929t932215
990056065080206441	RPB929t932251
990055889790206441	RPB929t932319
990049404180206441	RPB929t932328
990049825690206441	RPB929t932343
990054831700206441	RPB929t932402
990048732920206441	RPB929t932405
990056058030206441	RPB929t932408
990049075330206441	RPB929t932442
990049756590206441	RPB929t932477
990048182150206441	RPB929t932571
990056148830206441	RPB929t932593
990055877700206441	RPB929t932594
990056149020206441	RPB929t932595
990056149040206441	RPB929t932596
990056109990206441	RPB929t932604
990049836360206441	RPB929t932631
990054663980206441	RPB929t932766
990056080600206441	RPB929t932767
990055639950206441	RPB929t932772
990055639310206441	RPB929t932773
990054597010206441	RPB929t932775
990056063100206441	RPB929t932775x
990049828520206441	RPB929t940003
990056169450206441	RPB929t940004
990056002340206441	RPB929t940005
990056143400206441	RPB929t940006
990054674050206441	RPB929t940011
990056169640206441	RPB929t940012
990049924060206441	RPB929t940040
990053467850206441	RPB929t940164
990049935350206441	RPB929t940170
990056173060206441	RPB929t940184
990049209930206441	RPB929t940185
990056177660206441	RPB929t940192
990052531880206441	RPB929t940194
990049930370206441	RPB929t940200
990049930170206441	RPB929t940209
990049940980206441	RPB929t940245
990054371020206441	RPB929t940255
990048793110206441	RPB929t940355
990053090620206441	RPB929t940384
990048856730206441	RPB929t941543
990049182680206441	RPB929t941640
990049922130206441	RPB929t941641
990054634920206441	RPB929t941643
990056120470206441	RPB929t941644
990056043370206441	RPB929t941649
990056002160206441	RPB929t941650
990056046160206441	RPB929t941651
990056189310206441	RPB929t941682
990055903770206441	RPB929t941683
990056162710206441	RPB929t941684
990055120480206441	RPB929t941686
990056136520206441	RPB929t941711
990056136500206441	RPB929t941712
990049075330206441	RPB929t941714
990049915850206441	RPB929t941743
990049920540206441	RPB929t941746
990056698620206441	RPB929t941798
990056698610206441	RPB929t941799
990049890280206441	RPB929t941900
990049878780206441	RPB929t941907
990049015580206441	RPB929t941909
990053454090206441	RPB929t941915
990056900000206441	RPB929t941934
990149201710206441	RPB929t941935
990056607540206441	RPB929t941961
990056110260206441	RPB929t941962
990055779150206441	RPB929t941963
990056174210206441	RPB929t941964
990142775520206441	RPB929t941965
990055969420206441	RPB929t941971
990056058070206441	RPB929t941972
990056025390206441	RPB929t941973
990056119120206441	RPB929t941974
990116473420206441	RPB929t942005
990106253480206441	RPB929t942015
990056187840206441	RPB929t942017
990054913260206441	RPB929t942018
990056175350206441	RPB929t942019
990056164880206441	RPB929t942020
990056070700206441	RPB929t942022
990055847710206441	RPB929t942061
990056157360206441	RPB929t942062
990055936560206441	RPB929t942064
990052529840206441	RPB929t942065
990056053700206441	RPB929t942066
990056117680206441	RPB929t942067
990056112340206441	RPB929t942068
990104088250206441	RPB929t942069
990056112350206441	RPB929t942070
990056050880206441	RPB929t942071
990055948510206441	RPB929t942072
990056139440206441	RPB929t942133
990054630930206441	RPB929t942149
990126234190206441	RPB929t942208
990056189020206441	RPB929t942209
